Energy,Probability
7.766726503469358e-13,1.703534758580051e-28
7.848696664073841e-13,3.1817705318405746e-30
7.931097114235303e-13,9.016601807977105e-29
8.013927853953741e-13,1.6488433525986968e-30
8.09718888322916e-13,6.953294783959406e-29
8.18088020206156e-13,2.4696813092223803e-32
8.265001810450935e-13,3.4147039690048244e-28
8.349553708397293e-13,9.279430933537475e-30
8.434535895900631e-13,7.570716454915388e-30
8.519948372960943e-13,8.691826954730124e-33
8.605791139578237e-13,4.4336199554503373e-32
